id,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),iris_type
0,7.7,2.6,6.9,2.3,2
1,5.1,3.5,1.4,0.2,0
2,4.6,3.1,1.5,0.2,0
3,5.2,2.7,3.9,1.4,1
4,7.7,3.8,6.7,2.2,2
5,6.9,3.1,5.4,2.1,2
6,5.9,3.0,5.1,1.8,2
7,6.0,3.0,4.8,1.8,2
8,7.6,3.0,6.6,2.1,2
9,6.3,2.8,5.1,1.5,2
10,6.8,3.2,5.9,2.3,2
11,6.7,2.5,5.8,1.8,2
12,6.7,3.0,5.2,2.3,2
13,5.4,3.0,4.5,1.5,1
14,5.0,3.2,1.2,0.2,0
15,7.0,3.2,4.7,1.4,1
16,6.4,2.9,4.3,1.3,1
17,4.9,2.4,3.3,1.0,1
18,5.8,2.7,4.1,1.0,1
19,6.3,2.7,4.9,1.8,2
20,4.6,3.4,1.4,0.3,0
21,6.6,2.9,4.6,1.3,1
22,4.8,3.4,1.6,0.2,0
23,5.0,3.3,1.4,0.2,0
24,6.7,3.1,5.6,2.4,2
25,6.3,3.3,4.7,1.6,1
26,6.4,2.7,5.3,1.9,2
27,7.7,3.0,6.1,2.3,2
28,5.0,2.3,3.3,1.0,1
29,6.4,3.2,4.5,1.5,1
30,4.4,2.9,1.4,0.2,0
31,4.6,3.6,1.0,0.2,0
32,6.7,3.3,5.7,2.5,2
33,6.5,3.2,5.1,2.0,2
34,6.1,2.8,4.0,1.3,1
35,5.8,2.8,5.1,2.4,2
36,7.1,3.0,5.9,2.1,2
37,7.4,2.8,6.1,1.9,2
38,6.1,2.9,4.7,1.4,1
39,6.3,2.5,4.9,1.5,1
40,6.1,2.6,5.6,1.4,2
41,5.9,3.2,4.8,1.8,1
42,7.2,3.0,5.8,1.6,2
43,5.4,3.9,1.7,0.4,0
44,5.0,3.4,1.5,0.2,0
45,6.9,3.1,5.1,2.3,2
46,6.0,2.9,4.5,1.5,1
47,5.8,2.7,5.1,1.9,2
48,6.5,3.0,5.8,2.2,2
49,4.8,3.0,1.4,0.3,0
50,6.1,3.0,4.9,1.8,2
51,6.9,3.1,4.9,1.5,1
52,6.2,2.9,4.3,1.3,1
53,4.5,2.3,1.3,0.3,0
54,5.5,2.4,3.7,1.0,1
55,5.1,3.8,1.9,0.4,0
56,5.5,2.6,4.4,1.2,1
57,6.3,2.3,4.4,1.3,1
58,4.7,3.2,1.6,0.2,0
59,5.5,2.3,4.0,1.3,1
60,4.8,3.0,1.4,0.1,0
61,5.0,3.5,1.6,0.6,0
62,6.1,2.8,4.7,1.2,1
63,5.8,2.7,3.9,1.2,1
64,6.9,3.2,5.7,2.3,2
65,5.8,2.7,5.1,1.9,2
66,6.2,2.2,4.5,1.5,1
67,4.9,3.6,1.4,0.1,0
68,6.4,3.2,5.3,2.3,2
69,5.5,2.5,4.0,1.3,1
70,6.3,3.4,5.6,2.4,2
71,6.3,2.9,5.6,1.8,2
72,5.8,4.0,1.2,0.2,0
73,5.1,2.5,3.0,1.1,1
74,6.5,3.0,5.2,2.0,2
75,6.2,3.4,5.4,2.3,2
76,6.5,2.8,4.6,1.5,1
77,6.8,2.8,4.8,1.4,1
78,7.3,2.9,6.3,1.8,2
79,5.7,2.8,4.5,1.3,1
80,5.1,3.4,1.5,0.2,0
81,5.4,3.4,1.7,0.2,0
82,6.8,3.0,5.5,2.1,2
83,5.1,3.8,1.6,0.2,0
84,5.6,2.8,4.9,2.0,2
85,5.2,3.5,1.5,0.2,0
86,5.6,3.0,4.5,1.5,1
87,4.3,3.0,1.1,0.1,0
88,6.4,2.8,5.6,2.1,2
89,5.4,3.4,1.5,0.4,0
90,4.9,2.5,4.5,1.7,2
91,6.0,3.4,4.5,1.6,1
92,5.9,3.0,4.2,1.5,1
93,5.7,2.6,3.5,1.0,1
94,7.2,3.2,6.0,1.8,2
95,6.1,3.0,4.6,1.4,1
96,5.4,3.7,1.5,0.2,0
97,6.6,3.0,4.4,1.4,1
98,4.8,3.1,1.6,0.2,0
99,5.1,3.7,1.5,0.4,0
100,4.4,3.0,1.3,0.2,0
101,5.1,3.3,1.7,0.5,0
102,6.4,2.8,5.6,2.2,2
103,4.6,3.2,1.4,0.2,0
104,4.8,3.4,1.9,0.2,0
105,5.7,3.0,4.2,1.2,1
106,5.7,2.9,4.2,1.3,1
107,4.9,3.1,1.5,0.1,0
108,7.7,2.8,6.7,2.0,2
109,5.7,3.8,1.7,0.3,0
110,6.0,2.2,5.0,1.5,2
111,5.5,2.4,3.8,1.1,1
112,6.7,3.1,4.4,1.4,1
113,5.6,2.9,3.6,1.3,1
114,6.3,3.3,6.0,2.5,2
115,7.9,3.8,6.4,2.0,2
116,5.8,2.6,4.0,1.2,1
117,5.0,3.4,1.6,0.4,0
118,6.7,3.3,5.7,2.1,2
119,5.3,3.7,1.5,0.2,0
120,5.1,3.5,1.4,0.3,0
121,5.7,2.8,4.1,1.3,1
122,5.7,4.4,1.5,0.4,0
123,6.7,3.1,4.7,1.5,1
124,5.7,2.5,5.0,2.0,2
125,6.4,3.1,5.5,1.8,2
126,5.6,3.0,4.1,1.3,1
